Title,Label,Target
Specific fluorescent signatures for body fluid identification using fluorescence spectroscopy,Chemistry,1
Decorated graphene oxide with gold nanoparticles as a sensitive modified carbon paste electrode for simultaneous determination of tyrosine and uric acid,Chemistry,1
Standardized Centella asiatica (ECa 233) extract decreased pain hypersensitivity development in a male mouse model of chronic inflammatory temporomandibular disorder,Neuroscience,0
A novel ZnS-CdS nanocomposite as a visible active photocatalyst for degradation of synthetic and real wastewaters,Chemistry,1
Genetic atlas of hygro-and thermosensory cells in the vinegar fly Drosophila melanogaster,Neuroscience,0
On the removal efficiency of copper ions in wastewater using calcined waste eggshells as natural adsorbents,Chemistry,1
Sigma-1 receptor expression in a subpopulation of lumbar spinal cord microglia in response to peripheral nerve injury,Neuroscience,0
Facile synthesis of FeCeO x nanoparticles encapsulated carbon nitride catalyst for highly efficient and recyclable synthesis of substituted imidazoles,Chemistry,1
Multiple neuron clusters on Micro-Electrode Arrays as an in vitro model of brain network,Neuroscience,0
Aldose reductase inhibition decelerates optic nerve degeneration by alleviating retinal microglia activation,Neuroscience,0
Geosmin suppresses defensive behaviour and elicits unusual neural responses in honey bees,Neuroscience,0
Odor discrimination is immune to the effects of verbal labels,Neuroscience,0
AI-accelerated protein-ligand docking for SARS-CoV-2 is 100-fold faster with no significant change in detection,Chemistry,1
Developmental exposure to domoic acid targets reticulospinal neurons and leads to aberrant myelination in the spinal cord,Neuroscience,0
Identifying molecular targets of Aspiletrein-derived steroidal saponins in lung cancer using network pharmacology and molecular docking-based assessments,Chemistry,1
Kilohertz-frequency interferential current induces hypoalgesic effects more comfortably than TENS,Neuroscience,0
Ultraviolet exposure regulates skin metabolome based on the microbiome,Chemistry,1
Spatio-temporal activation patterns of neuronal population evoked by optostimulation and the comparison to electrical microstimulation,Neuroscience,0
Efficient removal of pharmaceutical contaminants from water and wastewater using immobilized laccase on activated carbon derived from pomegranate peels,Chemistry,1
Maximizing biodiesel production from waste cooking oil with lime-based zinc-doped CaO using response surface methodology,Chemistry,1
Expression of olfactory receptor genes in non-olfactory tissues in the developing and adult zebrafish,Neuroscience,0
An experimental and computational study of graphene oxide functionalized with tris(hydroxymethyl)aminomethane as an electrode material for supercapacitors,Chemistry,1
Bacteriophage-based nano-biosensors for the fast impedimetric determination of pathogens in food samples,Chemistry,1
Astrocytes actively support long-range molecular clock synchronization of segregated neuronal populations,Neuroscience,0
Algorithm selection for protein–ligand docking: strategies and analysis on ACE,Chemistry,1
Molecular docking as a tool for the discovery of molecular targets of nutraceuticals in diseases management,Chemistry,1
A protein–protein interaction analysis tool for targeted cross-linking mass spectrometry,Chemistry,1
Learning the dynamics of realistic models of C. elegans nervous system with recurrent neural networks,Neuroscience,0
Cell types and synchronous-activity patterns of inspiratory neurons in the preBötzinger complex of mouse medullary slices during early postnatal development,Neuroscience,0
Adult expression of Semaphorins and Plexins is essential for motor neuron survival,Neuroscience,0
"A data driven approach to mineral chemistry unveils magmatic processes associated with long-lasting, low-intensity volcanic activity",Chemistry,1
Probiotic potentials of lactic acid bacteria isolated from Egyptian fermented food,Chemistry,1
Machine learning analysis predicts a person’s sex based on mechanical but not thermal pain thresholds,Neuroscience,0
Efficient CO 2 methanation using nickel nanoparticles supported mesoporous carbon nitride catalysts,Chemistry,1
Single-neuron mechanical perturbation evokes calcium plateaus that excite and modulate the network,Neuroscience,0
Red clays indicate sub-aerial exposure of the Rio Grande Rise during the Eocene volcanic episode,Chemistry,1
"Latent toxoplasmosis impairs learning and memory yet strengthens short-term and long-term hippocampal synaptic plasticity at perforant pathway-dentate gyrus, and Schaffer collatterals-CA1 synapses",Neuroscience,0
Suppression of seizure in childhood absence epilepsy using robust control of deep brain stimulation: a simulation study,Neuroscience,0
Dual synergistic inhibition of COX and LOX by potential chemicals from Indian daily spices investigated through detailed computational studies,Chemistry,1
Bio-synthesized ZnO nanoparticles and sunlight-driven photocatalysis for environmentally-friendly and sustainable route of synthetic petroleum refinery wastewater treatment,Chemistry,1
Loss of neuron network coherence induced by virus-infected astrocytes: a model study,Neuroscience,0
Functions of human olfactory mucus and age-dependent changes,Neuroscience,0
"Distributed dynamic strain sensing of very long period and long period events on telecom fiber-optic cables at Vulcano, Italy",Chemistry,1
Sulfur and nitrogen co-doped carbon quantum dots as fluorescent probes for the determination of some pharmaceutically-important nitro compounds,Chemistry,1
GABAergic synapses onto SST and PV interneurons in the CA1 hippocampal region show cell-specific and integrin-dependent plasticity,Neuroscience,0
Heterogeneity of voltage gated sodium current density between neurons decorrelates spiking and suppresses network synchronization in Scn1b null mouse models,Neuroscience,0
PeruNPDB: the Peruvian Natural Products Database for in silico drug screening,Chemistry,1
Multitask computation through dynamics in recurrent spiking neural networks,Neuroscience,0
Experimenter familiarization is a crucial prerequisite for assessing behavioral outcomes and reduces stress in mice not only under chronic pain conditions,Neuroscience,0
"Ni 2+ and Cu 2+ complexes of N-(2,6-dichlorophenyl)-N-mesityl formamidine dithiocarbamate structural and functional properties as CYP3A4 potential substrates",Chemistry,1
Synthesis of a new sulfadimidine Schiff base and their nano complexes as potential anti-COVID-19 and anti-cancer activity,Chemistry,1
Exploring the capture and desorption of CO 2 on graphene oxide foams supported by computational calculations,Chemistry,1
Enhanced adsorption capacity of ZIF-8 for chemical warfare agent simulants caused by its morphology and surface charge,Chemistry,1
Modulation of trigeminal neuropathic pain by optogenetic inhibition of posterior hypothalamus in CCI-ION rat,Neuroscience,0
Olfactory brain activations in patients with Major Depressive Disorder,Neuroscience,0
Nanoporous carbons based on coordinate organic polymers as an efficient and eco-friendly nano-sorbent for adsorption of phenol from wastewater,Chemistry,1
Structural analysis of the coronavirus main protease for the design of pan-variant inhibitors,Chemistry,1
Apparatus for attosecond transient-absorption spectroscopy in the water-window soft-X-ray region,Chemistry,1
Fiber counts and architecture of the human dorsal penile nerve,Neuroscience,0
Promising photocatalytic and antimicrobial activity of novel capsaicin coated cobalt ferrite nanocatalyst,Chemistry,1
Highly efficient visible light active ZnO/Cu-DPA composite photocatalysts for the treatment of wastewater contaminated with organic dye,Chemistry,1
A neonicotinoid pesticide alters Drosophila olfactory processing,Neuroscience,0
"Assessing the reproducibility and up-scaling of the synthesis of Er,Yb-doped NaYF 4 -based upconverting nanoparticles and control of size, morphology, and optical properties",Chemistry,1
Exploring the therapeutic potential of an antinociceptive and anti-inflammatory peptide from wasp venom,Neuroscience,0
d -serine availability modulates prefrontal cortex inhibitory interneuron development and circuit maturation,Neuroscience,0
"Microwave-assisted synthesis, antioxidant activity, docking simulation, and DFT analysis of different heterocyclic compounds",Chemistry,1
Coenzyme Q 10 supplementation improves the motor function of middle-aged mice by restoring the neuronal activity of the motor cortex,Neuroscience,0
Characterizing endogenous delta oscillations in human MEG,Neuroscience,0
Investigating the use of titanium dioxide (TiO 2 ) nanoparticles on the amount of protection against UV irradiation,Chemistry,1
Phase-change materials based on amorphous equichalcogenides,Chemistry,1
Effect of chemicals on the phase and viscosity behavior of water in oil emulsions,Chemistry,1
Cortical inhibitory but not excitatory synaptic transmission and circuit refinement are altered after the deletion of NMDA receptors during early development,Neuroscience,0
Ultrasound therapy for a week promotes regeneration and reduces pro-inflammatory macrophages in a rat sciatic nerve autograft model,Neuroscience,0
Preparation of high-performance supercapacitor electrode with nanocomposite of CuO/NCNO flower-like,Chemistry,1
Machine learning algorithms reveal potential miRNAs biomarkers in gastric cancer,Chemistry,1
"Behavioral, neural and ultrastructural alterations in a graded-dose 6-OHDA mouse model of early-stage Parkinson's disease",Neuroscience,0
Voluntary running-induced activation of ventral hippocampal GABAergic interneurons contributes to exercise-induced hypoalgesia in neuropathic pain model mice,Neuroscience,0
A novel Raman spectroscopic method for detecting traces of blood on an interfering substrate,Chemistry,1
A light-gated cation channel with high reactivity to weak light,Neuroscience,0
Conditional Oprk1 -dependent Kiss1 deletion in kisspeptin neurons caused estrogen-dependent LH pulse disruption and LH surge attenuation in female rats,Neuroscience,0
"Design, fabrication and characterization of mesoporous yolk–shell nanocomposites as a sustainable heterogeneous nanocatalyst for synthesis of ortho-aminocarbonitrile tetrahydronaphthalenes",Chemistry,1
Spinal cord tethering and syringomyelia after trauma: impact of age and surgical outcome,Neuroscience,0
Preparation of ZnGa 2 O 4 nanoflowers and their full-color luminescence properties,Chemistry,1
The herbicide glyphosate inhibits hippocampal long-term potentiation and learning through activation of pro-inflammatory signaling,Neuroscience,0
Accurate prediction by AlphaFold2 for ligand binding in a reductive dehalogenase and implications for PFAS (per- and polyfluoroalkyl substance) biodegradation,Chemistry,1
Microglial CD300f immune receptor contributes to the maintenance of neuron viability in vitro and after a penetrating brain injury,Neuroscience,0
Sustainable and energy-efficient photocatalytic degradation of textile dye assisted by ecofriendly synthesized silver nanoparticles,Chemistry,1
"A water cooled, high power, dielectric barrier discharge reactor for CO 2 plasma dissociation and valorization studies",Chemistry,1
Green synthesis of TiO 2 for furfural production by photohydrolysis of tortilla manufacturing waste,Chemistry,1
"A novel natural scaffold layer improving efficiency, stability and reproducibility of Perovskite solar cells",Chemistry,1
Characterisation of NPFF-expressing neurons in the superficial dorsal horn of the mouse spinal cord,Neuroscience,0
Electrophysiological damage to neuronal membrane alters ephaptic entrainment,Neuroscience,0
Sympathetic neurons secrete retrogradely transported TrkA on extracellular vesicles,Neuroscience,0
Somatostatin-expressing interneurons modulate neocortical network through GABAb receptors in a synapse-specific manner,Neuroscience,0
Hybrid quantum-classical machine learning for generative chemistry and drug design,Chemistry,1
NRN-EZ: an application to streamline biophysical modeling of synaptic integration using NEURON,Neuroscience,0
The intracellular domain of major histocompatibility class-I proteins is essential for maintaining excitatory spine density and synaptic ultrastructure in the brain,Neuroscience,0
Molecular-evaluated and explainable drug repurposing for COVID-19 using ensemble knowledge graph embedding,Chemistry,1
Enhanced photocatalytic degradation of methylene blue dye using eco-friendly synthesized rGO@ZnO nanocomposites,Chemistry,1
Formalin-evoked pain triggers sex-specific behavior and spinal immune response,Neuroscience,0
Decoding of human identity by computer vision and neuronal vision,Neuroscience,0
Enhanced axonal regeneration of ALS patient iPSC-derived motor neurons harboring SOD1 A4V mutation,Neuroscience,0
Preclinical characterization of the efficacy and safety of biologic N-001 as a novel pain analgesic for post-operative acute pain treatment,Neuroscience,0
New C8-substituted caffeine derivatives as promising antioxidants and cytoprotective agents in human erythrocytes,Chemistry,1
Machine learning at the edge for AI-enabled multiplexed pathogen detection,Chemistry,1
Deep learning for video-based automated pain recognition in rabbits,Neuroscience,0
KCC2 downregulation after sciatic nerve injury enhances motor function recovery,Neuroscience,0
"4,6-Diamino-2-thiopyrimidine-based Cobalt Metal Organic Framework (Co-DAT‐MOF): green, efficient, novel and reusable nanocatalyst for synthesis of multicomponent reactions",Chemistry,1
"Novel Bromo and methoxy substituted Schiff base complexes of Mn(II), Fe(III), and Cr(III) for anticancer, antimicrobial, docking, and ADMET studies",Chemistry,1
Physical and chemical characterization of smokeless tobacco products in India,Chemistry,1
Food additives and PAHO’s nutrient profile model as contributors’ elements to the identification of ultra-processed food products,Chemistry,1
An illusion of disownership over one’s own limb is associated with pain perception,Neuroscience,0
"Expression of LIM domain-binding 3 (LDB3), a striated muscle Z-band alternatively spliced PDZ-motif protein in the nervous system",Neuroscience,0
Adsorption of methylene blue from textile industrial wastewater using activated carbon developed from Rumex abyssinicus plant,Chemistry,1
Recurrent activity in neuronal avalanches,Neuroscience,0
Cobalt isatin-Schiff-base derivative of MOF as a heterogeneous multifunctional bio-photocatalyst for sunlight-induced tandem air oxidation condensation process,Chemistry,1
"Morphological analysis of descending tracts in mouse spinal cord using tissue clearing, tissue expansion and tiling light sheet microscopy techniques",Neuroscience,0
Calretinin-expressing islet cells are a source of pre- and post-synaptic inhibition of non-peptidergic nociceptor input to the mouse spinal cord,Neuroscience,0
The effect of temporal expectation on the correlations of frontal neural activity with alpha oscillation and sensory-motor latency,Neuroscience,0
Brain imaging signatures of neuropathic facial pain derived by artificial intelligence,Neuroscience,0
Trogocytosis of neurons and glial cells by microglia in a healthy adult macaque retina,Neuroscience,0
Effectual visible light photocatalytic reduction of para-nitro phenol using reduced graphene oxide and ZnO composite,Chemistry,1
Evaluation of synthesized biosurfactants as promising corrosion inhibitors and alternative antibacterial and antidermatophytes agents,Chemistry,1
Durable superhydrophobic/superoleophilic melamine foam based on biomass-derived porous carbon and multi-walled carbon nanotube for oil/water separation,Chemistry,1
Early evolution of glial morphology and inflammatory cytokines following hypoxic-ischemic injury in the newborn piglet brain,Neuroscience,0
CuO nanoparticles mixed with activated BC extracted from algae as promising material for supercapacitor electrodes,Chemistry,1
Catalyst- and metal-free C( sp 2 )–H bond selenylation of ( N -hetero)-arenes using diselenides and trichloroisocyanuric acid at room temperature,Chemistry,1
"A portable, programmable, multichannel stimulator with high compliance voltage for noninvasive neural stimulation of motor and sensory nerves in humans",Neuroscience,0
Rat model of attention-deficit hyperactivity disorder exhibits delayed recovery from acute incisional pain due to impaired descending noradrenergic inhibition,Neuroscience,0
Metabolomics of early blight ( Alternaria solani ) susceptible tomato ( Solanum lycopersicum ) unfolds key biomarker metabolites and involved metabolic pathways,Chemistry,1
"3DPAFIPN as a halogenated dicyanobenzene-based photosensitizer catalyzed gram-scale photosynthesis of pyrano[2,3 -d ]pyrimidine scaffolds",Chemistry,1
Extraction and identification of new flavonoid compounds in dandelion Taraxacum mongolicum Hand.-Mazz. with evaluation of antioxidant activities,Chemistry,1
Synthesis and characterization of linear/nonlinear optical properties of graphene oxide and reduced graphene oxide-based zinc oxide nanocomposite,Chemistry,1
Morphological changes of large layer V pyramidal neurons in cortical motor-related areas after spinal cord injury in macaque monkeys,Neuroscience,0
Synthesis of superhydrophobic coatings based on silica nanostructure modified with organosilane compounds by sol–gel method for glass surfaces,Chemistry,1
Feasibility of administration of calcitonin gene-related peptide receptor antagonist on attenuation of pain and progression in osteoarthritis,Neuroscience,0
Astrocyte-neuron lactate shuttle plays a pivotal role in sensory-based neuroprotection in a rat model of permanent middle cerebral artery occlusion,Neuroscience,0
Metabolomics-based study of potential biomarkers of sepsis,Chemistry,1
Making sense of chemical space network shows signs of criticality,Chemistry,1
The brain regulatory program predates central nervous system evolution,Neuroscience,0
"Multicomponent synthesis of pyrimido[4,5- b ] quinolines over a carbocationic catalytic system",Chemistry,1
Circadian desynchronization disrupts physiological rhythms of prefrontal cortex pyramidal neurons in mice,Neuroscience,0
Antioxidant and antimicrobial effects of essential oils from two salvia species with in vitro and in silico analysis targeting 1AJ6 and 1R4U proteins,Chemistry,1
Assessing brain state and anesthesia level with two-photon calcium signals,Neuroscience,0
Sex-dependent differences in the genomic profile of lingual sensory neurons in naïve and tongue-tumor bearing mice,Neuroscience,0
UV-shielding properties of a cost-effective hybrid PMMA-based thin film coatings using TiO 2 and ZnO nanoparticles: a comprehensive evaluation,Chemistry,1
Fast calculation of hydrogen-bond strengths and free energy of hydration of small molecules,Chemistry,1
