Title,Label,Target
Assessment of the antibacterial and antioxidant activities of seaweed-derived extracts,Chemistry,1
"Synthesis, docking, MD simulation, ADMET, drug likeness, and DFT studies of novel furo[2,3- b ]indol-3a-ol as promising Cyclin-dependent kinase 2 inhibitors",Chemistry,1
Developmental loss of NMDA receptors results in supernumerary forebrain neurons through delayed maturation of transit-amplifying neuroblasts,Neuroscience,0
High-voltage pulsed radiofrequency improves ultrastructure of DRG and enhances spinal microglial autophagy to ameliorate neuropathic pain induced by SNI,Neuroscience,0
The application of synthetic antibacterial minerals to combat topical infections: exploring a mouse model of MRSA infection,Chemistry,1
Enhanced neural recovery and reduction of secondary damage in spinal cord injury through modulation of oxidative stress and neural response,Neuroscience,0
The amount of antioxidants in honey has a strong relationship with the plants selected by honey bees,Chemistry,1
Integrative analysis of metabolomics and transcriptomics to uncover biomarkers in sepsis,Chemistry,1
Clemastine and metformin extend the window of NMDA receptor surface expression in ageing oligodendrocyte precursor cells,Neuroscience,0
Predicting blood–brain barrier permeability of molecules with a large language model and machine learning,Chemistry,1
Methane plume detection after the 2022 Nord Stream pipeline explosion in the Baltic Sea,Chemistry,1
Membrane progesterone receptor γ ( paqr5b ) is essential for the formation of neurons in the zebrafish olfactory rosette,Neuroscience,0
"Magmatic-hydrothermal fluid evolution of the tin-polymetallic metallogenic systems from the Weilasituo ore district, Northeast China",Chemistry,1
Topographical anatomy of the septum verum and its white matter connections,Neuroscience,0
"Potential inhibitors of VEGFR1, VEGFR2, and VEGFR3 developed through Deep Learning for the treatment of Cervical Cancer",Chemistry,1
Siponimod treatment response shows partial BDNF dependency in multiple sclerosis models,Neuroscience,0
Synthesis and characterization of iron oxide-commercial activated carbon nanocomposite for removal of hexavalent chromium (Cr 6+ ) ions and Mordant Violet 40 (MV40) dye,Chemistry,1
Nerve injury inhibits Oprd1 and Cnr1 transcription through REST in primary sensory neurons,Neuroscience,0
Control of breathing by orexinergic signaling in the nucleus tractus solitarii,Neuroscience,0
Transcutaneous auricular vagus nerve stimulation enhances short-latency afferent inhibition via central cholinergic system activation,Neuroscience,0
iPSC-derived human sensory neurons reveal a subset of TRPV1 antagonists as anti-pruritic compounds,Neuroscience,0
"Molecular docking, molecular dynamics simulations and binding free energy studies of interactions between Mycobacterium tuberculosis Pks13, PknG and bioactive constituents of extremophilic bacteria",Chemistry,1
Optogenetic stimulation of neurons in the anterior cingulate cortex induces changes in intravesical bladder pressure and the micturition reflex,Neuroscience,0
A comparative study of deep eutectic solvents based on fatty acids and the effect of water on their intermolecular interactions,Chemistry,1
Degenerative and regenerative peripheral processes are associated with persistent painful chemotherapy-induced neuropathies in males and females,Neuroscience,0
An assessment of AcquireX and Compound Discoverer software 3.3 for non-targeted metabolomics,Chemistry,1
Static magnetic stimulation induces structural plasticity at the axon initial segment of inhibitory cortical neurons,Neuroscience,0
Enhanced SOC estimation of lithium ion batteries with RealTime data using machine learning algorithms,Chemistry,1
Performance and robustness of small molecule retention time prediction with molecular graph neural networks in industrial drug discovery campaigns,Chemistry,1
Interleukin-1α links peripheral Ca V 2.2 channel activation to rapid adaptive increases in heat sensitivity in skin,Neuroscience,0
Physical–chemical analysis of different types of flours available in the Romanian market,Chemistry,1
Solvent-thermal approach of MIL-100(Fe)/Cygnea/Fe 3 O 4 /TiO 2 nanocomposite for the treatment of lead from oil refinery wastewater (ORW) under UVA light,Chemistry,1
Drosophila expressing mutant human KCNT1 transgenes make an effective tool for targeted drug screening in a whole animal model of KCNT1-epilepsy,Neuroscience,0
Discovery of the first hydrothermal field along the 500-km-long Knipovich Ridge offshore Svalbard (the Jøtul field),Chemistry,1
AI is a viable alternative to high throughput screening: a 318-target study,Chemistry,1
Production of hydrogen using plastic waste via Aspen Hysys simulation,Chemistry,1
Fast learning without synaptic plasticity in spiking neural networks,Neuroscience,0
Social interactions and olfactory cues are required for contagious itch in mice,Neuroscience,0
The gephyrin scaffold modulates cortical layer 2/3 pyramidal neuron responsiveness to single whisker stimulation,Neuroscience,0
A novel multi-model estimation of phosphorus in coal and its ash using FTIR spectroscopy,Chemistry,1
Molecular docking of bioactive compounds extracted and purified from selected medicinal plant species against covid-19 proteins and in vitro evaluation,Chemistry,1
The IgLON family of cell adhesion molecules expressed in developing neural circuits ensure the proper functioning of the sensory system in mice,Neuroscience,0
Metagenomic insights into the wastewater resistome before and after purification at large‑scale wastewater treatment plants in the Moscow city,Chemistry,1
Experience-dependent glial pruning of synaptic glomeruli during the critical period,Neuroscience,0
"Boosting photocatalytic water splitting of TiO 2 using metal (Ru, Co, or Ni) co-catalysts for hydrogen generation",Chemistry,1
Prostaglandin E2 depolarises sensory axons in vitro in an ANO1 and Nav1.8 dependent manner,Neuroscience,0
Intersectional strategy to study cortical inhibitory parvalbumin-expressing interneurons,Neuroscience,0
Evaluation of radiological hazards associated with some Egyptian marble and granite rocks,Chemistry,1
"Toxic heavy metal ions contamination in water and their sustainable reduction by eco-friendly methods: isotherms, thermodynamics and kinetics study",Chemistry,1
Socialization causes long-lasting behavioral changes,Neuroscience,0
Spindle oscillations in communicating axons within a reconstituted hippocampal formation are strongest in CA3 without thalamus,Neuroscience,0
New examples of ferroelectric nematic materials showing evidence for the antiferroelectric smectic-Z phase,Chemistry,1
A miniaturized mode-of-action profiling platform enables high throughput characterization of the molecular and cellular dynamics of EZH2 inhibition,Chemistry,1
A multimodal submillimeter MRI atlas of the human cerebellum,Neuroscience,0
Cellular mechanisms underlying carry-over effects after magnetic stimulation,Neuroscience,0
MedGAN: optimized generative adversarial network with graph convolutional networks for novel molecule design,Chemistry,1
Discovery of a brain penetrant small molecule antagonist targeting LPA1 receptors to reduce neuroinflammation and promote remyelination in multiple sclerosis,Neuroscience,0
Synergistic effects of human umbilical cord mesenchymal stem cells/neural stem cells and epidural electrical stimulation on spinal cord injury rehabilitation,Neuroscience,0
Multiomics analysis to explore blood metabolite biomarkers in an Alzheimer’s Disease Neuroimaging Initiative cohort,Chemistry,1
Conventional extraction of fucoidan from Irish brown seaweed Fucus vesiculosus followed by ultrasound-assisted depolymerization,Chemistry,1
Significance of melanin distribution in the epidermis for the protective effect against UV light,Chemistry,1
Synthesis and characterization of polysaccharide- and protein-based edible films and application as packaging materials for fresh fish fillets,Chemistry,1
"Dynamical mechanisms of how an RNN keeps a beat, uncovered with a low-dimensional reduced model",Neuroscience,0
Gamma amplitude-envelope correlations are strongly elevated within hyperexcitable networks in focal epilepsy,Neuroscience,0
Diffusion probabilistic models enhance variational autoencoder for crystal structure generative modeling,Chemistry,1
Early detection of liver injuries by the Serum enhanced binding test sensitive to albumin post-transcriptional modifications,Chemistry,1
"Insights into the antioxidant, anti-inflammatory and anti-microbial potential of Nigella sativa essential oil against oral pathogens",Chemistry,1
Neuronal travelling waves explain rotational dynamics in experimental datasets and modelling,Neuroscience,0
"LC–MS/MS, GC–MS and molecular docking analysis for phytochemical fingerprint and bioactivity of Beta vulgaris L.",Chemistry,1
"Isotherms, kinetics and thermodynamic mechanism of methylene blue dye adsorption on synthesized activated carbon",Chemistry,1
Differential connectivity of the posterior piriform cortex in Parkinson’s disease and postviral olfactory dysfunction: an fMRI study,Neuroscience,0
The effect of roast profiles on the dynamics of titratable acidity during coffee roasting,Chemistry,1
Functional ultrasound and brain connectivity reveal central nervous system compromise in Trembler-J mice model of Charcot-Marie-Tooth disease,Neuroscience,0
Functional mapping of the lower urinary tract by epidural electrical stimulation of the spinal cord in decerebrated cat model,Neuroscience,0
Insights into coordination and ligand trends of lanthanide complexes from the Cambridge Structural Database,Chemistry,1
Neuromodulation with transcranial direct current stimulation contributes to motor function recovery via microglia in spinal cord injury,Neuroscience,0
Input specificity of NMDA-dependent GABAergic plasticity in the hippocampus,Neuroscience,0
Interfacial tension and wettability alteration during hydrogen and carbon dioxide storage in depleted gas reservoirs,Chemistry,1
Investigating antibacterial activity of biosynthesized silver oxide nanoparticles using Phragmanthera Macrosolen L . leaf extract,Chemistry,1
Reactive molecular dynamics simulations of lithium-ion battery electrolyte degradation,Chemistry,1
The temporal asymmetry of cortical dynamics as a signature of brain states,Neuroscience,0
Mitigation of aging-related plasticity decline through taurine supplementation and environmental enrichment,Neuroscience,0
Comparative antioxidant activity and phytochemical content of five extracts of Pleurotus ostreatus (oyster mushroom),Chemistry,1
Leaching of NMC industrial black mass in the presence of LFP,Chemistry,1
In vivo imaging of cathepsin B in activated glia in the brain after orofacial formalin test,Neuroscience,0
Neuroprotective role of lactate in a human in vitro model of the ischemic penumbra,Neuroscience,0
Quantitative detection of pseudouridine in RNA by mass spectrometry,Chemistry,1
Olfactory system structure and function in newly hatched and adult locusts,Neuroscience,0
Disparate nonlinear neural dynamics measured with different techniques in macaque and human V1,Neuroscience,0
Tuning contact line dynamics on slippery silicone oil grafted surfaces for sessile droplet evaporation,Chemistry,1
"The role of the claustrum in the acquisition, consolidation and reconsolidation of memories in mice",Neuroscience,0
Biodegradable plastic formulated from chitosan of Aristeus antennatus shells with castor oil as a plasticizer agent and starch as a filling substrate,Chemistry,1
Glial cells react to closed head injury in a distinct and spatiotemporally orchestrated manner,Neuroscience,0
"The rapid synthesis of 1,10-phenanthroline-5,6-diimine (Phendiimine) and its fascinating photo-stimulated behavior",Chemistry,1
Transcriptome analysis of rheumatoid arthritis uncovers genes linked to inflammation-induced pain,Neuroscience,0
"Crystal structures, phase transitions, thermodynamics, and molecular dynamics of organic–inorganic hybrid crystal [NH(CH 3 ) 3 ] 2 ZnCl 4",Chemistry,1
Highly efficient synthesis of pyrimidine-5-carbonitrile derivatives over a robust biowaste bone char-Bronsted solid acid catalyst,Chemistry,1
Detoxification of hydrogen sulfide by synthetic heme model compounds,Chemistry,1
"Synthesis, structural characterizations, in vitro biological evaluation and computational investigations of pyrazole derivatives as potential antidiabetic and antioxidant agents",Chemistry,1
Mouse auditory cortex sub-fields receive neuronal projections from MGB subdivisions independently,Neuroscience,0
Unraveling neuroprotection with Kv1.3 potassium channel blockade by a scorpion venom peptide,Neuroscience,0
Hypoxic postconditioning modulates neuroprotective glial reactivity in a 3D cortical ischemic-hypoxic injury model,Neuroscience,0
Evidence for disrupted copper availability in human spinal cord supports Cu II (atsm) as a treatment option for sporadic cases of ALS,Neuroscience,0
The role of fines in espresso extraction dynamics,Chemistry,1
Olfactory bulb-medial prefrontal cortex theta synchronization is associated with anxiety,Neuroscience,0
Transformer-based classification of visceral pain-related local field potential patterns in the brain,Neuroscience,0
Enhanced photocatalytic activity of green synthesized zinc oxide nanoparticles using low-cost plant extracts,Chemistry,1
Binding behavior of receptor binding domain of the SARS-CoV-2 virus and ivermectin,Chemistry,1
Leptin haploinsufficiency exerts sex-dependent partial protection in SOD1 G93A mice by reducing inflammatory pathways in the adipose tissue,Neuroscience,0
A novel theta-controlled vibrotactile brain–computer interface to treat chronic pain: a pilot study,Neuroscience,0
Graft-derived neurons and bystander effects are maintained for six months after human iPSC-derived NESC transplantation in mice’s cerebella,Neuroscience,0
Methadone directly impairs central nervous system cells in vitro,Neuroscience,0
Untargeted metabolomic analysis of human milk from healthy mothers reveals drivers of metabolite variability,Chemistry,1
Epitaxial growth of high-quality GaN with a high growth rate at low temperatures by radical-enhanced metalorganic chemical vapor deposition,Chemistry,1
High-resolution transcranial optical imaging of in vivo neural activity,Neuroscience,0
Sensory neuron LKB1 mediates ovarian and reproductive function,Neuroscience,0
"Evaluation of rock and fluid intermolecular interaction between asphaltene and sand minerals using electrochemical, analytical spectroscopy and microscopy techniques",Chemistry,1
Deep learning pipeline for accelerating virtual screening in drug discovery,Chemistry,1
Molecular detection of exosomal miRNAs of blood serum for prognosis of colorectal cancer,Chemistry,1
"Antioxidant, antimicrobial and healing properties of an extract from coffee pulp for the development of a phytocosmetic",Chemistry,1
Neural mechanisms of costly helping in the general population and mirror-pain synesthetes,Neuroscience,0
A central and peripheral dual neuromodulation strategy in pain management of zoster-associated pain,Neuroscience,0
Emerging opportunities of using large language models for translation between drug molecules and indications,Chemistry,1
Noise-induced hearing loss alters potassium-chloride cotransporter KCC2 and GABA inhibition in the auditory centers,Neuroscience,0
Unraveling diffusion behavior in Cu-to-Cu direct bonding with metal passivation layers,Chemistry,1
Dissecting glial scar formation by spatial point pattern and topological data analysis,Neuroscience,0
Machine learning enables non-Gaussian investigation of changes to peripheral nerves related to electrical stimulation,Neuroscience,0
Analysis of the effect of the scorpion toxin AaH-II on action potential generation in the axon initial segment,Neuroscience,0
Automatic monitoring of neural activity with single-cell resolution in behaving Hydra,Neuroscience,0
Sensory-substitution based sound perception using a spinal computer–brain interface,Neuroscience,0
Multimodal CNN-DDI: using multimodal CNN for drug to drug interaction associated events,Chemistry,1
Convenient and efficient N -methylation of secondary amines under solvent-free ball milling conditions,Chemistry,1
The natural breakthrough: phytochemicals as potent therapeutic agents against spinocerebellar ataxia type 3,Chemistry,1
Functional connectivity associated with attention networks differs among subgroups of fibromyalgia patients: an observational case–control study,Neuroscience,0
A simple and highly sensitive LC–MS workflow for characterization and quantification of ADC cleavable payloads,Chemistry,1
"Green synthesis, characterization, and photocatalytic activity of superparamagnetic MgFe 2 O 4 @ZnAl 2 O 4 nanocomposites",Chemistry,1
Characterization of human iPSC-derived sensory neurons and their functional assessment using multi electrode array,Neuroscience,0
GABAergic and glutamatergic inputs to the medulla oblongata and locus coeruleus noradrenergic pathways are critical for seizures and postictal antinociception neuromodulation,Neuroscience,0
Untargeted metabolomics reveal signatures of a healthy lifestyle,Chemistry,1
Improving docking and virtual screening performance using AlphaFold2 multi-state modeling for kinases,Chemistry,1
IDSL.GOA: gene ontology analysis for interpreting metabolomic datasets,Chemistry,1
"Antibacterial, antioxidant, cytotoxicity, and phytochemical screening of Moringa oleifera leaves",Chemistry,1
Induction of LTP mechanisms in dually innervated dendritic spines,Neuroscience,0
Green synthesis of zinc oxide nanoparticles using Padina pavonica extract for efficient photocatalytic removal of methylene blue,Chemistry,1
Experimental and computational evidence that Calpain-10 binds to the carboxy terminus of Na V 1.2 and Na V 1.6,Neuroscience,0
Limited evidence for anatomical contacts between intestinal GLP-1 cells and vagal neurons in male mice,Neuroscience,0
"A practical, biomimetic, one-pot synthesis of firefly luciferin",Chemistry,1
Highly efficient catalytic degradation of organic dyes using iron nanoparticles synthesized with Vernonia Amygdalina leaf extract,Chemistry,1
Topography of the GLP-1/GLP-1 receptor system in the spinal cord of male mice,Neuroscience,0
"Introducing the antibacterial and photocatalytic degradation potentials of biosynthesized chitosan, chitosan–ZnO, and chitosan–ZnO/PVP nanoparticles",Chemistry,1
Effects of cholestasis and hyperammonemia on dendritic spine density and turnover in rat hippocampal neurons,Neuroscience,0
Forensic analytical aspects of homemade explosives containing grocery powders and hydrogen peroxide,Chemistry,1
Activation of lateral preoptic neurons is associated with nest-building in male mice,Neuroscience,0
The search for non-evoked markers of pain in the GTN mouse model of migraine,Neuroscience,0
Unraveling druggable cancer-driving proteins and targeted drugs using artificial intelligence and multi-omics analyses,Chemistry,1
Caffeine content in filter coffee brews as a function of degree of roast and extraction yield,Chemistry,1
